cod_i;cod_m;muni;esta;ano_;prest;servç;natur;G06A _ População urbana residente do(s) município(s) com abastecimento de água;G06B _ População urbana residente do(s) município(s) com esgotamento sanitário;G12A _ População total residente do(s) município(s) com abastecimento de água, segundo o IBGE;G12B _ População total residente do(s) município(s) com esgotamento sanitário, segundo o IBGE;POP_TOT _ População total do município (Fonte: IBGE):;POP_URB _ População urbana do município (Fonte: IBGE);AG001 _ População total atendida com abastecimento de água;AG026 _ População urbana atendida com abastecimento de água;ES001 _ População total atendida com esgotamento sanitário;ES026 _ População urbana atendida com esgotamento sanitário;IN015_AE _ Índice de coleta de esgoto;IN016_AE _ Índice de tratamento de esgoto;IN023_AE _ Índice de atendimento urbano de água;IN024_AE _ Índice de atendimento urbano de esgoto referido aos municípios atendidos com água;IN046_AE _ Índice de esgoto tratado referido à água consumida;IN047_AE _ Índice de atendimento urbano de esgoto referido aos municípios atendidos com esgoto;IN055_AE _ Índice de atendimento total de água;IN056_AE _ Índice de atendimento total de esgoto referido aos municípios atendidos com água
3500907;350090;Altair;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35009040] Prefeitura Municipal de Altair -  São Paulo. - Altair-SP;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3.30;3.30;4.16;4.16;4.16;3.30;3.41;3.30;3.39;3.30;98.21;100.00;100.00;100.00;98.21;100.00;82.02;81.59
3501004;350100;Altinópolis;SP;2019;[35010011] Prefeitura Municipal de Altinópolis - PMA | [35010040] PREFEITURA MUNICIPAL DE ALTINÓPOLIS - PMA;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;14.14;14.14;16.18;16.18;16.18;14.14;14.14;14.14;14.14;14.14;70.56;100.00;100.00;100.00;70.56;100.00;87.37;87.37
3501103;350110;Alto Alegre;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;3.23;3.23;4.10;4.10;4.10;3.23;3.34;3.23;3.22;3.22;100.00;100.00;100.00;99.75;100.00;99.75;81.43;78.65
3501152;350115;Alumínio;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35011540] Departamento Municipal de Planejamento e Obras - DpMPO;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;15.62;15.62;18.63;18.63;18.63;15.62;14.06;14.06;11.16;11.16;68.56;100.00;90.00;71.44;68.56;71.44;75.48;59.92
3501202;350120;Álvares Florence;SP;2019;[35012011] Datema Ambiental Saneamento Básico LTDA - DASB | [35012040] Prefeitura do Município de Alvares Florence - PMAF;Água e Esgoto | Res. Sólidos;Empresa privada | Administração pública direta;2.50;2.50;3.68;3.68;3.68;2.50;2.80;2.46;2.80;2.38;80.00;100.00;98.50;95.12;80.00;95.12;76.22;76.22
3501301;350130;Álvares Machado;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35013040] Município de Alvares Machado - PMAM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;22.45;22.45;24.92;24.92;24.92;22.45;24.92;22.45;24.24;22.45;100.00;100.00;100.00;100.00;100.00;100.00;100.00;97.30
3501400;350140;Álvaro De Carvalho;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35014040] Departamento Municipal de Obras e Serviços - DMOS;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3.32;3.32;5.23;5.23;5.23;3.32;3.42;3.32;3.36;3.32;100.00;100.00;100.00;100.00;100.00;100.00;65.51;64.26
3501509;350150;Alvinlândia;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35015040] PREFEITURA MUNICIPAL DE ALVINLANDIA - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;2.89;2.89;3.22;3.22;3.22;2.89;3.01;2.89;2.97;2.89;100.00;100.00;100.00;100.00;100.00;100.00;93.30;92.12
3501608;350160;Americana;SP;2019;[35016011] Departamento de Água e Esgoto de Americana - DAE | [35016040] Secretaria de Obras e Serviços Urbanos - SOSU;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;238.48;238.48;239.60;239.60;239.60;238.48;238.48;238.48;239.60;238.48;93.63;57.10;100.00;100.00;53.13;100.00;99.53;100.00
3501707;350170;Américo Brasiliense;SP;2019;[35017011] Prefeitura Municipal de Américo Brasiliense - PMAB | [35017040] PREFEITURA MUNICIPAL DE AMERICO BRASILIENSE - PMAB;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;40.20;40.20;40.50;40.50;40.50;40.20;39.56;39.56;39.56;39.56;60.91;0.00;98.40;98.42;0.00;98.42;97.67;97.67
3501806;350180;Américo De Campos;SP;2019;[35018011] Prefeitura Municipal de Américo de Campos - PMAC | [35018040] Departamento de Meio Ambiente - DMA;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;5.01;5.01;5.97;5.97;5.97;5.01;5.10;5.01;5.10;5.01;82.83;100.00;100.00;100.00;82.83;100.00;85.49;85.49
3501905;350190;Amparo;SP;2019;[35019011] Serviço Autônomo de Água e Esgoto - SAAE | [35019040] MUNICIPIO DE AMPARO - MUNICIPIO DE AMPARO;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;56.82;56.82;72.20;72.20;72.20;56.82;56.82;56.82;53.98;53.98;81.65;58.28;100.00;95.00;47.59;95.00;78.70;74.77
3502002;350200;Analândia;SP;2019;[35020011] Prefeitura Municipal de Analândia - PMA | [35020040] PREFEITURA MUNICIPAL DA ESTANCIA CLIMATICA DE ANALANDIA - PMA;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;3.97;3.97;5.00;5.00;5.00;3.97;3.50;3.50;3.50;3.50;100.00;100.00;88.30;88.27;100.00;88.27;70.07;70.07
3502101;350210;Andradina;SP;2019;[35021011] Águas de Andradina - AA | [35021040] Prefeitura Municipal de Andradina - PMA;Água e Esgoto | Res. Sólidos;Empresa privada | Administração pública direta;53.35;53.35;57.16;57.16;57.16;53.35;57.16;53.35;56.37;53.35;97.11;100.00;100.00;100.00;97.11;100.00;100.00;98.63
3502200;350220;Angatuba;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35022040] SECRETARIA MUNICIPAL DE MEIO AMBIENTE E AGRICULTURA - SEMMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;18.12;18.12;25.23;25.23;25.23;18.12;20.77;18.12;16.79;16.79;80.44;100.00;100.00;92.67;80.44;92.67;82.33;66.56
3502309;350230;Anhembi;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;5.08;5.08;6.72;6.72;6.72;5.08;5.11;5.08;4.87;4.87;100.00;100.00;100.00;95.77;100.00;95.77;76.03;72.35
3502408;350240;Anhumas;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35024040] PREFEITURA MUNICIPAL DE ANHUMAS - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Empresa pública;3.37;3.37;4.12;4.12;4.12;3.37;4.09;3.37;3.99;3.37;97.34;100.00;100.00;100.00;97.34;100.00;99.47;96.84
3502507;350250;Aparecida;SP;2019;[35025011] Serviço Autônomo de Água e Esgotos e Resíduos Sólidos - SAAE | [35025040] SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTOS E RESÍDUOS SÓLIDOS DE APARECIDA - SAAE APARECIDA;Água e Esgoto | Res. Sólidos;Autarquia | Autarquia;35.63;35.63;36.16;36.16;36.16;35.63;35.63;35.63;31.00;31.00;46.75;0.00;100.00;87.00;0.00;87.00;98.55;85.73
3502606;350260;Aparecida D'oeste;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35026040] Prefeitura Municipal de Aparecida dOeste - SP;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3.44;3.44;4.20;4.20;4.20;3.44;3.80;3.44;3.68;3.44;95.75;100.00;100.00;100.00;95.75;100.00;90.66;87.68
3502705;350270;Apiaí;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35027040] Prefeitura do Município de Apiai - PMAPIAI;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;17.63;17.63;24.37;24.37;24.37;17.63;19.61;17.63;12.72;12.72;66.40;100.00;100.00;72.13;66.40;72.13;80.45;52.17
3502754;350275;Araçariguama;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35027540] PREFEITURA DO MUNICIPIO DE ARACARIGUAMA - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;22.36;22.36;22.36;22.36;22.36;22.36;13.69;13.69;8.93;8.93;55.54;55.66;61.20;39.94;30.91;39.94;61.23;39.94
3502804;350280;Araçatuba;SP;2019;[35028011] Soluções Ambientais de Araçatuba S.A. - SAMAR | [35028040] Prefeitura Municipal de Araçatuba - PMA;Água e Esgoto | Res. Sólidos;Empresa privada | Administração pública direta;193.22;193.22;197.02;197.02;197.02;193.22;193.22;193.22;191.17;191.17;100.00;100.00;100.00;98.94;100.00;98.94;98.07;97.03
3502903;350290;Araçoiaba Da Serra;SP;2019;[35029011] Águas de Araçoiaba - CAA | [35029040] Prefeitura de Araçoiaba da Serra - PMAS;Água e Esgoto | Res. Sólidos;Empresa privada | Administração pública direta;23.47;23.47;34.15;34.15;34.15;23.47;33.56;23.47;10.57;10.57;33.00;100.00;100.00;45.02;33.00;45.02;98.29;30.94
3503000;350300;Aramina;SP;2019;;;;0.00;0.00;0.00;0.00;5.62;5.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3503109;350310;Arandu;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35031040] PREFEITURA MUNICIPAL DE ARANDU - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;4.79;4.79;6.36;6.36;6.36;4.79;4.68;4.68;4.66;4.66;100,00;100,00;97,60;97,33;100,00;97,33;73,57;73,34
3503158;350315;Arapeí;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35031540] Diretoria de Obras e Serviços Urbanos - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;1.86;1.86;2.47;2.47;2.47;1.86;2.14;1.86;1.79;1.79;85,24;100,00;100,00;96,23;85,24;96,23;86,51;72,38
3503208;350320;Araraquara;SP;2019;[35032011] Departamento Autônomo de Água e Esgotos - DAAE | [35032040] DEPARTAMENTO AUTÔNOMO DE ÁGUA E ESGOTOS - DAAE;Água e Esgoto | Res. Sólidos;Autarquia | Autarquia;229.36;229.36;236.07;236.07;236.07;229.36;228.94;227.97;229.05;228.67;100,00;100,00;99,40;99,70;100,00;99,70;96,98;97,03
3503307;350330;Araras;SP;2019;[35033011] Serviço de Água, Esgoto e Meio Ambiente do Município de Araras - SAEMA | [35033040] SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS, URBANOS E RURAIS - SMSP;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;127.01;127.01;134.24;134.24;134.24;127.01;133.86;126.26;133.86;126.26;92,43;0,00;99,40;99,41;0,00;99,41;99,72;99,72
3503356;350335;Arco-Íris;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35033540] Prefeitura Municipal de Arco-Íris - PMAI;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;1.02;1.02;1.79;1.79;1.79;1.02;1.20;1.02;1.19;1.02;100,00;100,00;100,00;100,00;100,00;100,00;67,06;66,28
3503406;350340;Arealva;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35034040] Município de Arealva - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;6.74;6.74;8.56;8.56;8.56;6.74;6.01;6.01;5.41;5.41;90,83;100,00;89,10;80,23;90,83;80,23;70,16;63,19
3503505;350350;Areias;SP;2019;[35035011] Prefeitura Municipal de Areias - PMA | [35035040] Prefeitura Municipal de Areias - PMA;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;2.61;2.61;3.89;3.89;3.89;2.61;2.60;2.60;2.60;2.60;25,78;0,00;99,80;99,81;0,00;99,81;66,91;66,91
3503604;350360;Areiópolis;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35036040] PREFEITURA MUNICIPAL DE AREIÓPOLIS - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;9.89;9.89;11.13;11.13;11.13;9.89;10.65;9.89;10.63;9.89;95,26;100,00;100,00;100,00;95,26;100,00;95,67;95,52
3503703;350370;Ariranha;SP;2019;;;;0.00;0.00;0.00;0.00;9.67;9.16;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3503802;350380;Artur Nogueira;SP;2019;[35038011] Serviço de Água e Esgoto de Artur Nogueira - SAEAN | [35038040] Prefeitura Artur Nogueira - PMAN;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;49.26;49.26;54.41;54.41;54.41;49.26;48.47;48.47;47.10;47.01;67,40;33,00;98,40;95,43;22,24;95,43;89,08;86,57
3503901;350390;Arujá;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35039040] Secretaria Municipal de Meio Ambiente de Arujá - SMMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;86.24;86.24;89.82;89.82;89.82;86.24;89.82;86.24;65.59;65.59;50,32;100,00;100,00;76,06;50,32;76,06;100,00;73,03
3503950;350395;Aspásia;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35039540] Prefeitura Municipal de Aspásia - PMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;1.27;1.27;1.82;1.82;1.82;1.27;1.69;1.27;1.69;1.27;100,00;100,00;100,00;100,00;100,00;100,00;92,81;92,97
3504008;350400;Assis;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35040040] Secretaria Municipal de Agricultura e Meio Ambiente - SEAMA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;99.83;99.83;104.39;104.39;104.39;99.83;104.31;99.83;104.39;99.83;99,25;100,00;100,00;100,00;99,25;100,00;99,93;100,00
3504107;350410;Atibaia;SP;2019;[35041011] Saneamento Ambiental de Atibaia - SAAE | [35041040] Companhia de Saneamento Ambiental de Atibaia - SAAE - SAAE ATIBAIA;Água e Esgoto | Res. Sólidos;Empresa pública | Empresa pública;129.94;129.94;142.76;142.76;142.76;129.94;126.04;126.04;102.60;102.60;100,00;58,11;97,00;78,96;78,05;78,96;88,28;71,86
3504206;350420;Auriflama;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;13.85;13.85;15.19;15.19;15.19;13.85;14.47;13.85;14.28;13.85;98,03;100,00;100,00;100,00;98,03;100,00;95,28;94,00
3504305;350430;Avaí;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35043040] Prefeitura Municipal - PM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3.63;3.63;5.40;5.40;5.40;3.63;3.37;3.37;3.29;3.29;97,28;100,00;92,90;90,63;97,28;90,63;62,41;60,86
3504404;350440;Avanhandava;SP;2019;[35044011] Departamento de Água e Esgoto de Avanhandava - DAAEA | [35044040] DEPARTAMENTO AUTONOMO DE ÁGUA E ESGOTO DE AVANHANDAVA - DAAEA;Água e Esgoto | Res. Sólidos;Autarquia | Autarquia;11.54;11.54;13.65;13.65;13.65;11.54;11.54;11.54;11.54;11.54;80,83;100,00;100,00;100,00;80,83;100,00;84,56;84,56
3504503;350450;Avaré;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35045040] Prefeitura Municipal da Estância Turística de Avaré - PMETA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;86.78;86.78;90.66;90.66;90.66;86.78;90.41;86.78;87.43;86.78;98,83;100,00;100,00;100,00;98,83;100,00;99,73;96,44
3504602;350460;Bady Bassitt;SP;2019;[35046011] Prefeitura Municipal de Bady Bassitt - PMBB | [35046040] Prefeitura Municipal de Bady Bassitt - PMBB;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;16.37;16.37;17.50;17.50;17.50;16.37;16.37;16.37;16.18;16.18;80,00;100,00;100,00;98,81;80,00;98,81;93,54;92,42
3504701;350470;Balbinos;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35047040] DEPARTAMENTO DE OBRAS, VIAÇÃO E SERVIÇOS - DOVS;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;1.85;1.85;5.74;5.74;5.74;1.85;1.85;1.85;1.83;1.83;100,00;100,00;100,00;99,40;100,00;99,40;32,17;31,98
3504800;350480;Bálsamo;SP;2019;[35048011] Prefeitura Municipal de Bálsamo - PMB | [35048040] Prefeitura Municipal - PMB;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;8.31;8.31;9.07;9.07;9.07;8.31;9.07;8.31;9.07;8.31;99,55;100,00;100,00;100,00;99,55;100,00;100,00;100,00
3504909;350490;Bananal;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;8.73;8.73;10.95;10.95;10.95;8.73;8.51;8.51;8.08;8.08;87,78;100,00;97,50;92,47;87,78;92,47;77,77;73,78
3505005;350500;Barão De Antonina;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35050040] DIRETORIA DE AGRICULTURA E MEIO AMBIENTE DE BARÃO DE ANTONINA - DAMA-BA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;2.13;2.13;3.47;3.47;3.47;2.13;2.69;2.13;2.14;2.13;91,27;100,00;100,00;100,00;91,27;100,00;77,40;61,60
3505104;350510;Barbosa;SP;2019;[35051011] Prefeitura Municipal de Barbosa - PMB | [35051040] PREFEITURA MUNICIPAL DE BABOSA - P.M.B;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;6.26;6.26;7.40;7.40;7.40;6.26;7.40;6.26;7.40;6.26;97,01;96,58;100,00;100,00;93,69;100,00;100,00;100,00
3505203;350520;Bariri;SP;2019;[35052011] Serviço de Água e Esgoto do Município de Bariri - SAEMBA | [35052040] Diretoria de Obras e Meio Ambiente Prefeitura Municipal de Bariri - PSV_SGL;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;33.46;33.46;35.26;35.26;35.26;33.46;35.26;33.46;35.26;33.46;77,85;100,00;100,00;100,00;77,85;100,00;100,00;100,00
3505302;350530;Barra Bonita;SP;2019;[35053011] Serviço Autônomo de Água e Esgoto - SAAE | [35053040] SECRETARIA MUNICIPAL DE CONTROLE AMBIENTAL - SMCA;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;35.37;35.37;36.13;36.13;36.13;35.37;36.13;35.37;36.13;35.37;77,42;90,00;100,00;100,00;69,68;100,00;100,00;100,00
3505351;350535;Barra Do Chapéu;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP;Água e Esgoto;Sociedade de economia mista com administração pública;1.69;1.69;5.72;5.72;5.72;1.69;2.24;1.69;1.29;1.29;68,33;100,00;100,00;76,56;68,33;76,56;39,15;22,54
3505401;350540;Barra Do Turvo;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35054040] Prefeitura Municipal  de Barra do Turvo - PMBT;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;3.15;3.15;7.66;7.66;7.66;3.15;3.29;3.15;2.68;2.68;91,55;100,00;100,00;85,18;91,55;85,18;42,90;34,98
3505500;350550;Barretos;SP;2019;[35055011] Serviço Autônomo de Água e Esgoto de Barretos - SAAEB | [35055040] Serviço Autônomo de Água e Esgoto de Barretos - SAAEB;Água e Esgoto | Res. Sólidos;Autarquia | Autarquia;118.38;118.38;122.10;122.10;122.10;118.38;122.10;118.38;122.10;118.38;87,18;100,00;100,00;100,00;87,18;100,00;100,00;100,00
3505609;350560;Barrinha;SP;2019;[35056011] Prefeitura Municipal de Barrinha - PMB | [35056040] Prefeitura Municipal de Barrinha - PMB;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;32.45;32.45;32.81;32.81;32.81;32.45;32.45;32.45;32.45;32.45;79,90;0,00;100,00;100,00;0,00;100,00;98,89;98,89
3505708;350570;Barueri;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35057040] SECRETARIA DE SERVIÇOS MUNICIPAIS - SSM;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;274.18;274.18;274.18;274.18;274.18;274.18;274.18;274.18;245.94;245.94;63,50;51,15;100,00;89,70;32,48;89,70;100,00;89,70
3505807;350580;Bastos;SP;2019;[35503000] Companhia de Saneamento Básico do Estado de São Paulo - SABESP | [35058040] PREFEITURA MUNICIPAL DE BASTOS - PMB;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;18.05;18.05;20.95;20.95;20.95;18.05;18.80;18.05;18.76;18.05;98,33;100,00;100,00;100,00;98,33;100,00;89,70;89,52
3505906;350590;Batatais;SP;2019;[35059011] Prefeitura Municipal de Batatais - PMB | [35059040] Secretaria de Obras e Planejamento - SEOPLAN;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;55.28;55.28;62.51;62.51;62.51;55.28;55.28;55.28;55.00;55.00;80,00;75,99;100,00;99,50;60,80;99,50;88,44;87,99
3506003;350600;Bauru;SP;2019;[35060011] Departamento de Água e Esgoto - DAE | [35060040] Empresa Municipal de Desenvolvimento Urbano e Rural de Bauru - EMDURB;Água e Esgoto | Res. Sólidos;Autarquia | Empresa pública;370.52;370.52;376.82;376.82;376.82;370.52;370.33;370.33;365.73;365.73;76,64;4,41;100,00;98,71;3,38;98,71;98,28;97,06
3506102;350610;Bebedouro;SP;2019;[35061011] Serviço Autônomo de Água e Esgoto de Bebedouro - SAAEB | [35061040] Departamento de Agricultura, Abastecimento e Meio Ambiente - DAAMA;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;73.85;73.85;77.50;77.50;77.50;73.85;77.50;73.85;77.50;73.85;65,02;56,64;100,00;100,00;36,82;100,00;100,00;100,00
